x-min,y-mni,z-mni,x-tal,y-tal,z-tal,dist1,BA1,AnatA1,AnatB1,dist2,BA2,AnatA2,AnatB2,dist3,BA3,AnatA3,AnatB3
53,3,-41,52,1,-35,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-45,10,-41,-45,8,-35,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,11,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-38,10,-41,-38,8,-35,2,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
-31,10,-41,-31,8,-35,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
25,10,-41,25,8,-35,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Uncus,Limbic Lobe
32,10,-41,32,8,-35,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
39,10,-41,39,8,-35,1,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
46,10,-41,46,8,-35,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-38,17,-41,-38,15,-35,3,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,15,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
-31,17,-41,-31,15,-35,1,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,12,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,15,Brodmann area 28,Uncus,Limbic Lobe
32,17,-41,32,15,-35,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,15,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
39,17,-41,39,15,-35,3,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe
-59,-18,-34,-58,-19,-28,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,13,Brodmann area 21,Inferior Temporal Gyrus,Temporal Lobe,23,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-52,-18,-34,-51,-19,-28,1,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,14,Brodmann area 21,Inferior Temporal Gyrus,Temporal Lobe,18,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-45,-18,-34,-45,-19,-28,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,16,Hippocampus,Parahippocampal Gyrus,Limbic Lobe
-38,-18,-34,-38,-19,-28,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,13,Brodmann area 28,Uncus,Limbic Lobe
-31,-18,-34,-31,-19,-28,4,Brodmann area 20,Uncus,Limbic Lobe,5,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 28,Uncus,Limbic Lobe
32,-18,-34,32,-19,-28,4,Brodmann area 20,Uncus,Limbic Lobe,5,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 28,Uncus,Limbic Lobe
39,-18,-34,39,-19,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,13,Hippocampus,Parahippocampal Gyrus,Limbic Lobe
46,-18,-34,46,-19,-28,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,13,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,16,Brodmann area 21,Inferior Temporal Gyrus,Temporal Lobe
53,-18,-34,52,-19,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,13,Brodmann area 21,Inferior Temporal Gyrus,Temporal Lobe,19,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
60,-18,-34,59,-19,-28,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,14,Brodmann area 21,Inferior Temporal Gyrus,Temporal Lobe,24,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-59,-11,-34,-58,-12,-28,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,22,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-52,-11,-34,-51,-12,-28,1,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,18,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-45,-11,-34,-45,-12,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,15,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-38,-11,-34,-38,-12,-28,2,Brodmann area 20,Uncus,Limbic Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 28,Uncus,Limbic Lobe
-31,-11,-34,-31,-12,-28,1,Brodmann area 20,Uncus,Limbic Lobe,3,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-24,-11,-34,-24,-12,-28,1,Brodmann area 28,Uncus,Limbic Lobe,4,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 20,Uncus,Limbic Lobe
25,-11,-34,25,-12,-28,1,Brodmann area 28,Uncus,Limbic Lobe,5,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 20,Uncus,Limbic Lobe
32,-11,-34,32,-12,-28,2,Brodmann area 20,Uncus,Limbic Lobe,4,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
39,-11,-34,39,-12,-28,3,Brodmann area 20,Uncus,Limbic Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,11,Brodmann area 28,Uncus,Limbic Lobe
46,-11,-34,46,-12,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
53,-11,-34,52,-12,-28,1,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,18,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
60,-11,-34,59,-12,-28,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,23,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-59,-4,-34,-58,-5,-28,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,18,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-52,-4,-34,-51,-5,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-31,-4,-34,-31,-5,-28,5,Brodmann area 20,Uncus,Limbic Lobe,6,Brodmann area 36,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe
-24,-4,-34,-24,-5,-28,4,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 28,Uncus,Limbic Lobe,6,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
-17,-4,-34,-17,-5,-28,2,Brodmann area 36,Uncus,Limbic Lobe,4,Brodmann area 28,Uncus,Limbic Lobe,6,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
18,-4,-34,18,-5,-28,1,Brodmann area 36,Uncus,Limbic Lobe,4,Brodmann area 28,Uncus,Limbic Lobe,5,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
25,-4,-34,25,-5,-28,4,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 28,Uncus,Limbic Lobe,7,Brodmann area 20,Uncus,Limbic Lobe
32,-4,-34,32,-5,-28,5,Brodmann area 20,Uncus,Limbic Lobe,6,Brodmann area 36,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe
39,-4,-34,39,-5,-28,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
46,-4,-34,46,-5,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,11,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
53,-4,-34,52,-5,-28,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,14,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
60,-4,-34,59,-5,-28,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,19,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-52,3,-34,-51,1,-29,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-45,3,-34,-45,1,-29,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-24,3,-34,-24,1,-29,3,Brodmann area 28,Uncus,Limbic Lobe,4,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 38,Uncus,Limbic Lobe
18,3,-34,18,1,-29,3,Brodmann area 28,Uncus,Limbic Lobe,3,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 38,Uncus,Limbic Lobe
25,3,-34,25,1,-29,4,Brodmann area 36,Uncus,Limbic Lobe,4,Brodmann area 28,Uncus,Limbic Lobe,6,Brodmann area 38,Uncus,Limbic Lobe
46,3,-34,46,1,-29,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
53,3,-34,52,1,-29,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-52,10,-34,-51,8,-29,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-45,10,-34,-45,8,-29,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-38,10,-34,-38,8,-29,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-31,10,-34,-31,8,-29,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 28,Uncus,Limbic Lobe
-24,10,-34,-24,8,-29,1,Brodmann area 38,Uncus,Limbic Lobe,3,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Uncus,Limbic Lobe
25,10,-34,25,8,-29,2,Brodmann area 38,Uncus,Limbic Lobe,4,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Uncus,Limbic Lobe
32,10,-34,32,8,-29,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 28,Uncus,Limbic Lobe
39,10,-34,39,8,-29,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
46,10,-34,46,8,-29,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
53,10,-34,52,8,-29,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-45,17,-34,-45,15,-29,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
-38,17,-34,-38,15,-29,3,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
-31,17,-34,-31,15,-29,1,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,12,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
32,17,-34,32,15,-29,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
39,17,-34,39,15,-29,3,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
46,17,-34,46,15,-29,2,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
-52,-46,-27,-51,-46,-20,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 36,Fusiform Gyrus,Temporal Lobe
-45,-46,-27,-45,-46,-20,5,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
46,-46,-27,46,-46,-20,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
53,-46,-27,52,-46,-20,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 36,Fusiform Gyrus,Temporal Lobe
-59,-39,-27,-58,-39,-21,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 36,Fusiform Gyrus,Temporal Lobe
-52,-39,-27,-51,-39,-21,1,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,3,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-45,-39,-27,-45,-39,-21,2,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
-38,-39,-27,-38,-39,-21,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
39,-39,-27,39,-39,-21,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
46,-39,-27,46,-39,-21,1,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
53,-39,-27,52,-39,-21,2,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,4,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
60,-39,-27,59,-39,-21,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,8,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-59,-32,-27,-58,-32,-21,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,11,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-52,-32,-27,-51,-32,-21,3,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-45,-32,-27,-45,-32,-21,2,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,4,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
-38,-32,-27,-38,-32,-21,2,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,10,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
-31,-32,-27,-31,-32,-21,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
32,-32,-27,32,-32,-21,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
39,-32,-27,39,-32,-21,2,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
46,-32,-27,46,-32,-21,2,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
53,-32,-27,52,-32,-21,3,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 36,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
60,-32,-27,59,-32,-21,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-59,-25,-27,-58,-25,-21,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-52,-25,-27,-51,-25,-21,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe
-45,-25,-27,-45,-25,-21,3,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,14,Hippocampus,Parahippocampal Gyrus,Limbic Lobe
-38,-25,-27,-38,-25,-21,4,Brodmann area 20,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,10,Hippocampus,Parahippocampal Gyrus,Limbic Lobe
-31,-25,-27,-31,-25,-21,4,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,8,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
-24,-25,-27,-24,-25,-21,2,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,7,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
